Station,Latitude,Longitude
Acton,51.50865831,-0.274952357
Brixton,51.46484074,-0.11349904
Bromley,51.39965453,0.017377393
Charing Cross,51.509866,-0.12459655
Croydon ,51.37072711,-0.095659645
Colindale,51.59706342,-0.241314318
Dagenham ,51.54521825,0.16572898
Edmonton ,51.6224459,-0.061269519
Hammersmith,51.49489019,-0.224372146
Hayes ,51.52538068,-0.435117401
Islington,51.53406191,-0.110892503
Lavender Hill,51.46478067,-0.162137187
Lewisham,51.46325294,-0.010100844
Sutton,51.36137483,-0.19116251
Twickenham,51.44819424,-0.329220678
Plumstead ,51.48679935,0.095560553
Stoke Newington,51.55796237,-0.074651322
Stratford,51.53941407,0.003894295
Walworth ,51.48938089,-0.097485409
Wembley,51.55174178,-0.305696405
Bishopsgate,51.51783115,-0.080011268
